dataset,method,model,imputation,base_model,F1,missing_perc
mice_protein,mcar,F-Act,,F-Act,0.4302841590061589,50.0
mice_protein,mcar,F-Act,,F-Act,0.37995243994722855,60.0
mice_protein,mcar,F-Act,,F-Act,0.22207238097568285,70.0
mice_protein,mcar,F-Act,,F-Act,0.24241157170865754,80.0
mice_protein,mcar,F-Act,,F-Act,0.1248996324584592,90.0
mice_protein,mcar,F-Act,,F-Act,0.11163289835164836,95.0
mice_protein,mcar,F-Act,,F-Act,0.06452218641580146,98.0
mice_protein,mnar,F-Act,,F-Act,0.9483979804692652,0.0
mice_protein,mnar,F-Act,,F-Act,0.9485702888878588,20.0
mice_protein,mnar,F-Act,,F-Act,0.9533116518759539,40.0
mice_protein,mnar,F-Act,,F-Act,0.9434570406930299,50.0
mice_protein,mnar,F-Act,,F-Act,0.925378543557809,60.0
mice_protein,mnar,F-Act,,F-Act,0.8416710138188256,70.0
mice_protein,mnar,F-Act,,F-Act,0.6965275101395538,80.0
mice_protein,mnar,F-Act,,F-Act,0.3136222840954777,90.0
mice_protein,mnar,F-Act,,F-Act,0.04912478825522304,95.0
mice_protein,mnar,F-Act,,F-Act,0.0373767258382643,98.0
mice_protein,mcar,F-Act,,F-Act,0.9722076768240595,0.0
mice_protein,mcar,F-Act,,F-Act,0.7765013428244674,20.0
mice_protein,mcar,F-Act,,F-Act,0.5966540399256859,40.0
mice_protein,mcar,F-Act,,F-Act,0.4783756110109895,50.0
mice_protein,mcar,F-Act,,F-Act,0.3885777880012848,60.0
mice_protein,mcar,F-Act,,F-Act,0.3238180611565695,70.0
mice_protein,mcar,F-Act,,F-Act,0.22508142498389624,80.0
mice_protein,mcar,F-Act,,F-Act,0.129703683681509,90.0
mice_protein,mcar,F-Act,,F-Act,0.13180897894200647,95.0
mice_protein,mcar,F-Act,,F-Act,0.06390370287494924,98.0
mice_protein,mnar,F-Act,,F-Act,0.9722332849203376,0.0
mice_protein,mnar,F-Act,,F-Act,0.9629061723819787,20.0
mice_protein,mnar,F-Act,,F-Act,0.9534090909090909,40.0
mice_protein,mnar,F-Act,,F-Act,0.9676040061633281,50.0
mice_protein,mnar,F-Act,,F-Act,0.9443002779453793,60.0
mice_protein,mnar,F-Act,,F-Act,0.9538452177189192,70.0
mice_protein,mnar,F-Act,,F-Act,0.8977263602121911,80.0
mice_protein,mnar,F-Act,,F-Act,0.5735459541524565,90.0
mice_protein,mnar,F-Act,,F-Act,0.26080670418852003,95.0
mice_protein,mnar,F-Act,,F-Act,0.06777945634250619,98.0
mice_protein,mcar,F-Act,,F-Act,0.9814758178929752,0.0
mice_protein,mcar,F-Act,,F-Act,0.8087881295653321,20.0
mice_protein,mcar,F-Act,,F-Act,0.5552598885623874,40.0
mice_protein,mcar,F-Act,,F-Act,0.5074806592083014,50.0
mice_protein,mcar,F-Act,,F-Act,0.3834370914410667,60.0
mice_protein,mcar,F-Act,,F-Act,0.2909251788145266,70.0
mice_protein,mcar,F-Act,,F-Act,0.20199915471848215,80.0
mice_protein,mcar,F-Act,,F-Act,0.15186216132801664,90.0
mice_protein,mcar,F-Act,,F-Act,0.11473069013619407,95.0
mice_protein,mcar,F-Act,,F-Act,0.0786307841327587,98.0
mice_protein,mnar,F-Act,,F-Act,0.9861085494998394,0.0
mice_protein,mnar,F-Act,,F-Act,0.9677331824370623,20.0
mice_protein,mnar,F-Act,,F-Act,0.9766967745741332,40.0
mice_protein,mnar,F-Act,,F-Act,0.9674748321448204,50.0
mice_protein,mnar,F-Act,,F-Act,0.9907451699248144,60.0
mice_protein,mnar,F-Act,,F-Act,0.981397751039041,70.0
mice_protein,mnar,F-Act,,F-Act,0.9261446935506723,80.0
mice_protein,mnar,F-Act,,F-Act,0.28739330592778867,90.0
mice_protein,mnar,F-Act,,F-Act,0.04053204859656473,95.0
mice_protein,mnar,F-Act,,F-Act,0.0695835643704385,98.0
PBMC,mcar,F-Act,,F-Act,0.8557425510116965,0.0
PBMC,mcar,F-Act,,F-Act,0.8221030472244204,20.0
PBMC,mcar,F-Act,,F-Act,0.8028709467496653,40.0
PBMC,mcar,F-Act,,F-Act,0.7831578577039753,50.0
